index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold,Primary Author,Total Revenue,Publisher Profit,Rating Category
264,1998,About a Boy,Nick Hornby,en-US,Intermediate,3.79,101999,Fiction,1079.39,647.634,2.99,283,Penguin Group (USA) LLC,361,Nick Hornby,1079.39,647.634,Good (3.5-4.0)
265,2012,On Dublin Street,Samantha Young,eng,Intermediate,4.24,136761,nonfiction,3905.78,2343.468,10.91,285,Random House LLC,358,Samantha Young,3905.78,2343.468,Very Good (4.0-4.5)
266,2008,Crazy Love: Overwhelmed by a Relentless God,"Francis Chan, Danae Yankoski, Chris Tomlin",eng,Intermediate,4.15,106351,Fiction,1064.44,638.664,2.99,286,Macmillan,356,Francis Chan,1064.44,638.664,Very Good (4.0-4.5)
267,1960,"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,Unknown,Intermediate,4.12,117582,nonfiction,706.45,423.87,1.99,287,Simon and Schuster Digital Sales Inc,355,Dr. Seuss,706.45,423.87,Very Good (4.0-4.5)
268,1987,Watchers,Dean Koontz,Unknown,Intermediate,4.16,109595,Fiction,1049.49,0.0,2.99,289,"Amazon Digital Services,  Inc.",351,Dean Koontz,1049.49,0.0,Very Good (4.0-4.5)
269,1902,The Story of My Life,Helen Keller,eng,Intermediate,4.07,107313,nonfiction,347.49,208.494,0.99,289,"Amazon Digital Services,  Inc.",351,Helen Keller,347.49,208.494,Very Good (4.0-4.5)
270,2009,This Is Where I Leave You,Jonathan Tropper,eng,Intermediate,3.88,98645,Fiction,346.5,0.0,0.99,290,"Amazon Digital Services,  Inc.",350,Jonathan Tropper,346.5,0.0,Good (3.5-4.0)
271,2010,Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith,en-US,Intermediate,3.7,106336,Fiction,344.52,0.0,0.99,291,"Amazon Digital Services,  Inc.",348,Seth Grahame-Smith,344.52,0.0,Good (3.5-4.0)
272,1999,ãƒ•ãƒ«ãƒ¼ãƒ„ãƒã‚¹ã‚±ãƒƒãƒˆ 1,"Natsuki Takaya, Alethea Nibley, Athena Nibley",eng,Intermediate,4.23,118467,nonfiction,1031.55,618.93,2.99,293,Simon and Schuster Digital Sales Inc,345,Natsuki Takaya,1031.55,618.93,Very Good (4.0-4.5)
273,1623,The Tempest,William Shakespeare,en-US,Intermediate,3.8,125178,Fiction,1025.57,0.0,2.99,294,"Amazon Digital Services,  Inc.",343,William Shakespeare,1025.57,0.0,Good (3.5-4.0)
274,2010,Burned: A House of Night Novel,"P.C. Cast, Kristin Cast",eng,Intermediate,3.98,120763,Fiction,1019.59,0.0,2.99,295,"Amazon Digital Services,  Inc.",341,P.C. Cast,1019.59,0.0,Good (3.5-4.0)
275,1997,Wizard and Glass,"Stephen King, Dave McKean",eng,Intermediate,4.24,105026,fiction,1019.59,611.754,2.99,295,Simon and Schuster Digital Sales Inc,341,Stephen King,1019.59,611.754,Very Good (4.0-4.5)
276,2013,The Circle,Dave Eggers,eng,Novice,3.46,109412,Fiction,3872.6,2323.56,11.39,296,Penguin Group (USA) LLC,340,Dave Eggers,3872.6,2323.56,Average (3.0-3.5)
277,2007,The Invention of Hugo Cabret,Brian Selznick,eng,Intermediate,4.23,132159,Fiction,1686.62,0.0,4.99,297,"Amazon Digital Services,  Inc.",338,Brian Selznick,1686.62,0.0,Very Good (4.0-4.5)
278,1932,Brave New World/Brave New World Revisited,"Aldous Huxley, Christopher Hitchens",eng,Intermediate,4.16,108124,Fiction,1676.64,0.0,4.99,298,"Amazon Digital Services,  Inc.",336,Aldous Huxley,1676.64,0.0,Very Good (4.0-4.5)
279,2003,æ¡œè˜­é«˜æ ¡ãƒ›ã‚¹ãƒˆéƒ¨ 1,Bisco Hatori,eng,Excellent,4.36,113881,Fiction,666.65,399.99,1.99,299,HarperCollins Publishers,335,Bisco Hatori,666.65,399.99,Very Good (4.0-4.5)
280,2014,The Good Girl,Mary Kubica,eng,Intermediate,3.81,100936,Fiction,2620.72,1572.432,7.99,303,Random House LLC,328,Mary Kubica,2620.72,1572.432,Good (3.5-4.0)
281,2012,"Fallen Too Far (Too Far, #1)",Abbi Glines,eng,Excellent,4.21,138871,Fiction,2875.32,1725.192,8.82,304,Penguin Group (USA) LLC,326,Abbi Glines,2875.32,1725.192,Very Good (4.0-4.5)
282,2014,Landline,Rainbow Rowell,eng,Intermediate,3.55,113805,Fiction,1300.74,0.0,3.99,304,"Amazon Digital Services,  Inc.",326,Rainbow Rowell,1300.74,0.0,Good (3.5-4.0)
283,2008,Tempted,"P.C. Cast, Kristin Cast",eng,Intermediate,3.96,127387,fiction,2759.25,1655.55,8.49,305,HarperCollins Publishers,325,P.C. Cast,2759.25,1655.55,Good (3.5-4.0)
284,2005,No Country for Old Men,Cormac McCarthy,eng,Excellent,4.12,100513,Fiction,1611.77,967.062,4.99,306,Simon and Schuster Digital Sales Inc,323,Cormac McCarthy,1611.77,967.062,Very Good (4.0-4.5)
285,2009,Wolf Hall,Hilary Mantel,eng,Intermediate,3.85,102936,Fiction,2468.49,1481.094,7.69,307,Penguin Group (USA) LLC,321,Hilary Mantel,2468.49,1481.094,Good (3.5-4.0)
286,1986,Howl's Moving Castle,Diana Wynne Jones,eng,Excellent,4.3,123945,Fiction,950.82,0.0,2.99,309,"Amazon Digital Services,  Inc.",318,Diana Wynne Jones,950.82,0.0,Very Good (4.0-4.5)
287,2001,Dreamcatcher,"Stephen King, William Olivier Desmond",fre,Intermediate,3.59,115855,Fiction,1576.84,0.0,4.99,310,"Amazon Digital Services,  Inc.",316,Stephen King,1576.84,0.0,Good (3.5-4.0)
288,1854,Walden; or Life in the Woods,Henry David Thoreau,eng,Intermediate,3.79,108062,nonfiction,2044.35,1226.61,6.49,311,Random House LLC,315,Henry David Thoreau,2044.35,1226.61,Good (3.5-4.0)
289,1989,The Remains of the Day,Kazuo Ishiguro,eng,Excellent,4.1,105892,nonfiction,1874.87,1124.922,5.99,312,Random House LLC,313,Kazuo Ishiguro,1874.87,1124.922,Very Good (4.0-4.5)
290,2010,The Best of Me,Nicholas Sparks,en-US,Intermediate,3.91,103915,Fiction,307.89,184.734,0.99,313,"Amazon Digital Services,  Inc.",311,Nicholas Sparks,307.89,184.734,Good (3.5-4.0)
291,2011,The Sense of an Ending,Julian Barnes,eng,Intermediate,3.7,94968,Fiction,306.9,0.0,0.99,314,"Amazon Digital Services,  Inc.",310,Julian Barnes,306.9,0.0,Good (3.5-4.0)
292,1982,A is for Alibi,Sue Grafton,en-US,Intermediate,3.82,116026,Fiction,616.9,370.14,1.99,314,"Amazon Digital Services,  Inc.",310,Sue Grafton,616.9,370.14,Good (3.5-4.0)
293,-430,ÎŸá¼°Î´Î¯Ï€Î¿Ï…Ï‚ Î¤ÏÏÎ±Î½Î½Î¿Ï‚,"Sophocles, J.E. Thomas",eng,Intermediate,3.67,119496,Fiction,2460.92,1476.552,7.99,315,Hachette Book Group,308,Sophocles,2460.92,1476.552,Good (3.5-4.0)
